"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252687,0,0,"1266","1266","1266"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757536,44.215397484344,0,0,"54855","54855","54855"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106351,-40.2016026751214,0,0,"1465","1465","1465"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112168,-38.2511822462051,0,0,"51232","51232","51232"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758945,-43.7365579185384,0,0,"2034","2034","2034"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533338,-37.5503720316622,0,0,"2317","2317","2317"
"ENSG00000164251",2348.7701339719,3.34450833213609,0.0690717572655249,48.4207795565294,0,0,"2150","2150","2150"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812924,38.767487144894,0,0,"6659","6659","6659"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279801,47.1058093860442,0,0,"1026","1026","1026"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609052,-43.9933323216711,0,0,"5054","5054","5054"
"ENSG00000188153",2944.12640623352,2.26608046261253,0.0552681287921961,41.0015774395551,0,0,"1287","1287","1287"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595169,40.9741732137196,0,0,"5328","5328","5328"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652615,-42.1726838115352,0,0,"4288","4288","4288"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135801,38.2834110933159,0,0,"6515","6515","6515"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461242,-38.3261828997426,0,0,"10376","10376","10376"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178477,44.0060249686279,0,0,"22822","22822","22822"
"ENSG00000125257",6050.78726438958,1.9505494949135,0.0435953844405867,44.7421102014084,0,0,"10257","10257","10257"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931715,38.5901202167616,0,0,"1734","1734","1734"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075095,44.5945224172385,0,0,"54567","54567","54567"
"ENSG00000138623",2851.61916336974,-2.40668774845909,0.0581377318678346,-41.3963130507094,0,0,"8482","8482","8482"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.069622103454464,-42.0008730342047,0,0,"7153","7153","7153"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638749,-52.9712609892323,0,0,"558","558","558"
"ENSG00000198743",1999.10327890814,2.5345304131356,0.0670975518000999,37.7738135764861,0,0,"6526","6526","6526"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895967,-37.338747544078,3.86082291027515e-305,2.37086700215146e-302,"2023","2023","2023"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294312,37.2705374042545,4.92673245749706e-304,2.90440731834367e-301,"2149","2149","2149"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075192,36.9471519148957,8.09231108272338e-299,4.58709541296835e-296,"390","390","390"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246632,36.8352639561642,5.03520683659028e-297,2.74847697620991e-294,"5327","5327","5327"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225741,36.6909753183981,1.01726618393619e-294,5.35445322101839e-292,"9162","9162","9162"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.058906348089818,-36.466132722591,3.81873143499156e-291,1.94070565134157e-288,"11343","11343","11343"
"ENSG00000104081",804.838487338129,4.43413656938238,0.121636384406067,36.4540313413098,5.93856217975546e-291,2.9174176468412e-288,"90427","90427","90427"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307423,-36.2808238848642,3.24649821954148e-288,1.54344808901943e-285,"11245","11245","11245"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941963,36.27070294323,4.68797353251025e-288,2.15910481006675e-285,"283209","283209","283209"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758647,-36.2228494299791,2.65984835140405e-287,1.18790439403009e-284,"55573","55573","55573"
"ENSG00000033867",3157.52042924196,1.93501315031032,0.0535351847027573,36.1446992488037,4.50689778644649e-286,1.9536076346073e-283,"9497","9497","9497"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729393,-36.1399178936198,5.35778353376085e-286,2.21230320941733e-283,"1063","1063","1063"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522484,36.1396808426041,5.40391610388274e-286,2.21230320941733e-283,"25878","25878","25878"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517473,-35.7887108200608,1.65485249289742e-280,6.59168001089789e-278,"7052","7052","7052"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.065615529209468,35.3236809713161,2.54305707417534e-273,9.86304609452532e-271,"94241","94241","94241"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274729,-35.2491412924544,3.53646850175055e-272,1.33642237894358e-269,"10979","10979","10979"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896397,-35.1930555341825,2.55367981537951e-271,9.40903327976579e-269,"142","142","142"
"ENSG00000196549",1520.30148791169,2.83743506770559,0.0806594353569988,35.177968394486,4.34407225856573e-271,1.5615350474815e-268,"4311","4311","4311"
"ENSG00000110002",899.504360793506,4.43907473642136,0.126316442695776,35.1424932628332,1.51368681107787e-270,5.3115991003966e-268,"4013","4013","4013"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498833,-34.9774903180657,4.94847109790167e-268,1.69605969862499e-265,"22974","22974","22974"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.14541820212871e-265,"10313","10313","10313"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470117,34.836676955408,6.77554401242539e-266,2.21906594789168e-263,"63895","63895","63895"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630842001,34.8299159162919,8.57647267409791e-266,2.74782726675772e-263,"6840","6840","6840"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182844,34.2452170379763,5.13836406687271e-257,1.61125977909723e-254,"5069","5069","5069"
"ENSG00000198901",744.768135087352,-3.1765209895984,0.0928701287754388,-34.2039042206915,2.11545038713144e-256,6.49531412615482e-254,"9055","9055","9055"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807063,-33.8997479311372,6.71887893085173e-252,2.02087423842638e-249,"4082","4082","4082"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486004919,33.7243085225037,2.54545117993305e-249,7.50297189797067e-247,"1281","1281","1281"
